split	prefix	model	dataset	label	beta	mean_best_val_loss	lower_std	upper_std	seed_count	seed_best_val_losses
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.99684	3.9290300427	0.0000000000	0.0000000000	1	3.9290300427
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.99822	4.5355968020	0.0000000000	0.0000000000	1	4.5355968020
development	llama60m_slimpajama6b_bs64	Llama60M	SlimPajama-6B	Llama60M on SlimPajama-6B	0.99900	5.3410623692	0.0000000000	0.0000000000	1	5.3410623692
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.00000	0.7215898071	0.0000000000	0.0000000000	1	0.7215898071
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.43766	0.6960734937	0.0000000000	0.0000000000	1	0.6960734937
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.68377	0.6916158392	0.0000000000	0.0000000000	1	0.6916158392
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.82217	0.6901508814	0.0000000000	0.0000000000	1	0.6901508814
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.90000	0.6885297026	0.0000000000	0.0000000000	1	0.6885297026
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.94377	0.6877424051	0.0000000000	0.0000000000	1	0.6877424051
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.96838	0.6877040261	0.0000000000	0.0000000000	1	0.6877040261
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.98222	0.6876774965	0.0000000000	0.0000000000	1	0.6876774965
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.99000	0.6877847830	0.0000000000	0.0000000000	1	0.6877847830
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.99438	0.6887695163	0.0000000000	0.0000000000	1	0.6887695163
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.99684	0.6897388606	0.0000000000	0.0000000000	1	0.6897388606
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.99822	0.6957582253	0.0000000000	0.0000000000	1	0.6957582253
heldout	t5small_bookcorpus_bs8	T5-small	BookCorpus	T5-small on BookCorpus	0.99900	0.7034273219	0.0000000000	0.0000000000	1	0.7034273219
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.00000	4.6763928879	0.0000000000	0.0000000000	1	4.6763928879
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.43766	3.0916180056	0.0000000000	0.0000000000	1	3.0916180056
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.68377	2.5798168238	0.0000000000	0.0000000000	1	2.5798168238
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.82217	2.4502782018	0.0452209489	0.0292277031	3	2.4050572528;2.4914096123;2.4543677402
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.90000	2.3857990152	0.0384913592	0.0768320329	3	2.3497901573;2.4626310482;2.3449758402
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.94377	2.3554014420	0.0340033693	0.0679997973	3	2.3218873601;2.4234012393;2.3209157267
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.96838	2.3917790929	0.0484247040	0.0848863957	3	2.3726495588;2.4766654885;2.3260222313
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.98222	2.4109954843	0.0081822691	0.0131348002	3	2.4241302845;2.3995476351;2.4093085333
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.99000	2.5338128445	0.0000000000	0.0000000000	1	2.5338128445
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.99438	2.7520483316	0.0000000000	0.0000000000	1	2.7520483316
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.99684	2.9875462554	0.0000000000	0.0000000000	1	2.9875462554
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.99822	3.4835646652	0.0000000000	0.0000000000	1	3.4835646652
heldout	swin_t_caltech256_bs64	Swin-T	Caltech-256	Swin-T on Caltech-256	0.99900	3.8145889626	0.0000000000	0.0000000000	1	3.8145889626
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.00000	2.2161375417	0.0000000000	0.0000000000	1	2.2161375417
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.43766	1.3255290389	0.0000000000	0.0000000000	1	1.3255290389
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.68377	1.2031920191	0.0091511748	0.0045979238	3	1.2073149440;1.1940408444;1.2082202690
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.82217	1.1572710559	0.0234360179	0.0129866556	3	1.1338350380;1.1745874120;1.1633907178
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.90000	1.1407699779	0.0195775893	0.0338228974	3	1.1745928753;1.1139952181;1.1337218403
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.94377	1.1529462970	0.0123081830	0.0244645880	3	1.1420786835;1.1774108850;1.1393493225
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.96838	1.1772324134	0.0233598354	0.0404374748	3	1.1453139082;1.2176698881;1.1687134438
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.98222	1.2164082106	0.0000000000	0.0000000000	1	1.2164082106
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.99000	1.2412091494	0.0000000000	0.0000000000	1	1.2412091494
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.99438	1.4128374864	0.0000000000	0.0000000000	1	1.4128374864
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.99684	1.5256617145	0.0000000000	0.0000000000	1	1.5256617145
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.99822	1.7379976492	0.0000000000	0.0000000000	1	1.7379976492
heldout	efficientnetb0_stanfordcars_bs64	EfficientNet-B0	Cars	EfficientNet-B0 on Stanford Cars	0.99900	1.9558307973	0.0000000000	0.0000000000	1	1.9558307973
